College,Location,State,Program Level,Course / Specialization,Total Fee (INR),Notes,Hostel Fee (INR/year)
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,BCA,Robotics & GenArtificial Intelligence,"395,000",Total 8-sem,
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,BBA,Aviation,"340,000",Total 8-sem,
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,BBA,Logistics SCM,"340,000",Total 8-sem,
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,BBA,Hospital Administration,"340,000",Total 8-sem,
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,MBA,Business Administration,"240,000",Total 2-year,
KMCT Institute of Emerging Technology & Management (Kozhikode),Kozhikode,Kerala,BCA,Artificial Intelligence & Machine Learning with Cyber Security,"395,000",Total 8-sem,
KMCT Institute of Emerging Technology & Management (Kozhikode),Kozhikode,Kerala,BCA,Robotics & GenArtificial Intelligence,"395,000",Total 8-sem,
KMCT Institute of Emerging Technology & Management (Kozhikode),Kozhikode,Kerala,BBA,Aviation,"340,000",Total 8-sem,
KMCT Institute of Emerging Technology & Management (Kozhikode),Kozhikode,Kerala,BBA,Logistics SCM,"340,000",Total 8-sem,
KMCT Institute of Emerging Technology & Management (Kozhikode),Kozhikode,Kerala,BBA,Hospital Administration,"340,000",Total 8-sem,
KMCT Institute of Emerging Technology & Management (Kozhikode),Kozhikode,Kerala,MBA,Business Administration,"240,000",,
KMCT Institute of Emerging Technology & Management (Kozhikode),Kozhikode,Kerala,MCA,Computer Applications ,"115,750",Total 2-year,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,B.Tech,Computer Science Engineering,"280,000",Total 4-year,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,B.Tech,Artificial Intelligence & Data Science,"280,000",,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,B.Tech,Computer Science & Business Systems,"200,000",,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,B.Tech,Electronics & Communication Engineering,"160,000",,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,BCA,Artificial Intelligence & Machine Learning with Cyber Security,"395,000",Total 8-sem,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,BCA,Robotics & GenArtificial Intelligence,"395,000",Total 8-sem,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,BBA,Aviation,"340,000",Total 8-sem,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,BBA,Logistics SCM,"340,000",Total 8-sem,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,BBA,Hospital Administration,"340,000",Total 8-sem,
KMCT Institute of Engineering & Management (Perinthalmanna),Malappuram,Kerala,MBA,Business Administration,"240,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,BBA,Aviation,"275,000",Total 3-year,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,BBA,Logistics SCM,"275,000",Total 3-year,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,BBA,Hospital Administration,"275,000",Total 3-year,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,BCA,Robotics & GenArtificial Intelligence,"320,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,BCA,Artificial Intelligence & Machine Learning with Cyber Security,"320,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,B.Sc,Robotics & GenArtificial Intelligence,"320,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,B.Sc,Artificial Intelligence & Machine Learning with Cyber Security,"320,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,B.Com,Aviation,"275,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,B.Com,Logistics SCM,"275,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,B.Com,Hospital Administration,"275,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,B.Com,CMA,"320,000",,
KMCT Arts & Science College (Kuttippuram),Malappuram,Kerala,B.Com,ACCA,"320,000",,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,B.Tech,Computer Science Engineering,"366,000",Total 4-year (Rs96k yr1 + Rs90k yr2-4),
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,B.Tech,Artificial Intelligence & Data Science,"366,000",,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,B.Tech,Electronics & Communication Engineering,"256,000",Rs56k yr1 + Rs50k yr2-4,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,B.Tech,Computer Science Engineering - Cyber Security,"246,000",Rs66k yr1 + Rs60k yr2-4,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,BCA,Artificial Intelligence & Machine Learning with Cyber Security,"395,000",Total 8-sem,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,BCA,Robotics & GenArtificial Intelligence,"395,000",Total 8-sem,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,BBA,Aviation,"340,000",,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,BBA,Logistics SCM,"340,000",,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,BBA,Hospital Administration,"340,000",,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,MBA,Business Administration,"240,000",,
KMCT Institute of Technology & Management (Kuttippuram),Malappuram,Kerala,MCA,Computer Applications ,"115,750",Total 2-year,
Krupanidhi Group of Institutions,Bengaluru,Karnataka,BCA,Artificial Intelligence with Python,"462,000",Total 3-year,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,BCA,Big Data,"462,000",Total 3-year,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,BCA,Cyber Security,"462,000",Total 3-year,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,BCA,AWS Cloud,"462,000",Total 3-year,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,BBA,Logistics,"434,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,BBA,Aviation & Logistics,"426,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,BBA,Aviation,"396,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,BBA,Business Analyst,"497,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,B.Com,CMA,"385,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,B.Com,ACCA,"442,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,B.Com,Logistics,"370,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,MBA,Business Administration ,"630,000",Total 2-year,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,MCA,Computer Applications ,"398,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,MSW,Social Work,"256,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,B.Sc,Forensic Science,"386,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,M.Sc,Microbiology,"236,000",,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,B.Sc,Physiotherapy,"812,000",Total 4-year,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,B.Pharm,Pharmacy,"716,000",Total 4-year,"88,000/year"
Krupanidhi Group of Institutions,Bengaluru,Karnataka,Pharm.D,Doctor of Pharmacy (Pharm.D),"2,100,000",Total 6-year,"88,000/year"
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,BA,English + Hospital Administration,"262,000",Total 3-year (6 sem),
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,BA,Aviation & Hospitality Management,"262,000",Total 3-year (6 sem),
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,GST,"289,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,SAP,"289,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,Microsoft,"289,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,Logistics SCM,"289,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,Hospital Admin,"289,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,Aviation & Hospitality Management,"289,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,Artificial Intelligence & Machine Learning,"289,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,Cyber Security & Ethical Hacking,"289,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,Finance with CMA (USA),"299,000",,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Com,ACCA ,"359,000",,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,BBA,Hospital Admin,"324,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,BBA,Logistics SCM,"324,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,BBA,Aviation & Hospitality Management,"324,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,BCA,Artificial Intelligence & Machine Learning,"345,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,BCA,Cyber Security & Ethical Hacking,"345,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,B.Sc,Psychology + Hospital Administration,"299,000",Total 3-year,
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,M.Sc,Psychology,"112,750",Total 2-year (4 sem),
MES T.O. Abdulla Memorial College (Kunnukara),Ernakulam,Kerala,M.Com,Finance & Tax,"112,750",Total 2-year (4 sem),
MES College of Engineering & Technology (Kunnukara),Ernakulam,Kerala,B.Tech,Civil Engineering Engineering,"200,000",Total 4-year,
MES College of Engineering & Technology (Kunnukara),Ernakulam,Kerala,B.Tech,Mechanical Engineering,"200,000",Rs50k/yr,
MES College of Engineering & Technology (Kunnukara),Ernakulam,Kerala,B.Tech,Electronics & Communication Engineering,"280,000",Rs70k/yr,
MES College of Engineering & Technology (Kunnukara),Ernakulam,Kerala,B.Tech,Artificial Intelligence & Data Science,"360,000",Rs90k/yr,
MES College of Engineering & Technology (Kunnukara),Ernakulam,Kerala,B.Tech,Computer Science & Engineering,"360,000",Rs90k/yr,
MES College of Engineering & Technology (Kunnukara),Ernakulam,Kerala,B.Tech,Robotics & Artificial Intelligence,"360,000",Rs90k/yr,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,Nursing,"755,000",Total 4-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,Diploma,General Nursing & Midwifery,"390,000",Total 3-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,Physiotherapy,"575,000",Total 3-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology,"475,000",Total 3-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,Anesthesia Technology,"475,000",Total 3-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Imaging Technology,"475,000",Total 3-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Laboratory Technology,"475,000",Total 3-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology(Lateral Entry),"190,000",Total 2-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,MIT,"190,000",Total 2-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,B.Sc,MLT ,"190,000",Total 2-year,
Navaneetham Group of Institutions,Bengaluru,Karnataka,M.Sc,Nursing,"270,000",Total 2-year,
Nirmala Arts & Science College,Ernakulam,Kerala,B.Com,Aviation & Airport Management,"285,000",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,B.Com,Logistics SCM,"285,000",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,B.Com,Hospital Administration,"285,000",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,B.Com,ACCA,"325,000",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,BBA,Aviation & Airport Management,"295,000",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,BBA,Logistics SCM,"295,000",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,BBA,Hospital Administration,"295,000",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,BCA,Artificial Intelligence & Machine Learning,"352,300",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,BCA,Cyber Security & Ethical Hacking,"352,300",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,BSW,Hospital Administration,"240,500",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,B.Sc,Psychology + Hospital Administration,"265,000",Total 3-year,
Nirmala Arts & Science College,Ernakulam,Kerala,BA,English + Aviation & Airport Management,"235,000",Total 3-year,
REVA University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering,"2,200,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Information Science & Engineering,"2,000,000",Rs5L/yr seat blocking,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Artificial Intelligence & Machine Learning,"2,700,000",Rs6.75L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Artificial Intelligence & Data Science,"2,700,000",Rs6.75L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - IoT & Cybersecurity with Blockchain,"2,500,000",Rs6.25L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Electronics & Communication Engineering,"1,840,000",Rs4.6L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Electronics & Computer Engineering,"1,800,000",Rs4.5L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Robotics & Artificial Intelligence,"1,600,000",Rs4L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Civil Engineering Engineering,"800,000",Rs2L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Mechanical Engineering,"920,000",Rs2.3L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Mechatronics,"1,300,000",Rs3.25L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Aerospace Engineering,"1,500,000",Rs3.75L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Agricultural Engineering,"900,000",Rs2.25L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Tech,Electrical & Electronics Engineering,"920,000",Rs2.3L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,Computer Science Engineering (Full Time),"420,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,Computer Science Engineering (Part Time),"450,000",Total 3-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,VLSI & Embedded Systems (Full Time),"400,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,VLSI & Embedded Systems (Part Time),"420,000",Total 3-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,Digital Communications & Networking,"340,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,Computer Aided Structural Engineering,"350,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,Transportation Engineering & Management,"320,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,Construction Technology & Management,"350,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,Power & Energy Systems,"300,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Tech,Machine Design,"360,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Com,Professional (with CA coaching),"750,000",Total 3-year; Rs2.5L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Com,ACCA,"750,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Com,Accounting & Fin-Tech,"600,000",Rs2L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Com,Finance & Data Analysis,"600,000",Rs2L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Com,Economics & Taxation,"600,000",Rs2L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Com,International Business and Entrepreneurship,"600,000",Rs2L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Com,Banking,"600,000",Rs2L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Com,Dual Specialization,"180,000",Total 2-year (Rs90k/yr),"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Aviation Management ,"750,000",Rs2.5L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Logistics & Supply Chain Management,"675,000",Rs2.25L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Business Analytics,"750,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Strategic Brand Management,"750,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Retail Management,"675,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Hospital & Healthcare Management,"675,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,HR,"750,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Marketing,"750,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Finance,"750,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Entrepreneurship,"750,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BBA,Management Studies (BMS),"900,000",Rs3L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,MBA,Dual Specialization,"1,200,000",Total 2-year (Rs6L/yr),"1,39,000/year"
REVA University,Bengaluru,Karnataka,BCA,Computer Applications ,"675,000",Rs2.25L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Cloud Computing & Big Data,"540,000",Rs1.8L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Multimedia & Animation,"510,000",Rs1.7L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Cybersecurity,"570,000",Rs1.9L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,MCA,Computer Applications ,"650,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Data Science,"500,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Bioinformatics,"390,000",Rs1.3L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Statistics,"390,000",Rs1.3L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Computer Science,"390,000",Rs1.3L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Biotechnology,"390,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Biochemistry,"390,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Genetics,"390,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Physics,"210,000",Rs70k/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Mathematics,"210,000",Rs70k/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Computer Science,"210,000",Rs70k/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Microbiology,"285,000",Rs95k/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Chemistry,"285,000",Rs95k/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Genetics,"285,000",Rs95k/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Biotechnology,"400,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Chemistry,"200,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Mathematics,"180,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Physics,"180,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Microbiology,"350,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Bioinformatics,"400,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Medical Laboratory Technology,"360,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Medical Radiology & Diagnostic Imaging,"680,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Nutrition & Dietetics,"400,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Sports & Exercise Science (Hons),"560,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Physiotherapy,"600,000",4.5-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Biochemistry,"260,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Nutrition & Dietetics,"250,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Sports Biomechanics,"300,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Interior Design,"450,000",Rs1.5L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Arch,Architecture,"1,750,000",Total 5-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Arch,Digital Architecture,"200,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,LLB,LLB (Hons) - 5 Year,"1,000,000",Rs2L/yr,"1,39,000/year"
REVA University,Bengaluru,Karnataka,LLM,Business & Corporate Law,"200,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,LLM,Criminal Law,"200,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BA,Political Science with Minors,"1,200,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Psychology (Hons & Research),"640,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Psychology ,"1,600,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BA,Economics with Minors,"1,200,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Clinical Psychology,"350,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,M.Sc,Psychology,"350,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,MA,English,"130,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,MA,International Relations & Strategic Studies,"400,000",,"1,39,000/year"
REVA University,Bengaluru,Karnataka,B.Sc,Integrated Marketing Communication & Advertising,"700,000",Total 4-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,MA,Communication & Journalism,"250,000",Total 2-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,Diploma (Performing Arts),Bharatnatyam,"45,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,Diploma (Performing Arts),Kathak,"45,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,Diploma (Performing Arts),Kuchipudi,"45,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,Diploma (Performing Arts),Mohiniyattam,"45,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,Diploma (Performing Arts),Yakshagana,"45,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,Diploma (Performing Arts),Carnatic,"45,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,Diploma (Performing Arts),Hindustani,"45,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,Diploma (Performing Arts),Theatre,"45,000",Total 1-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,BA,Performing Arts with Minors,"330,000",Total 3-year,"1,39,000/year"
REVA University,Bengaluru,Karnataka,MA,Performing Arts,"220,000",Total 2-year,"1,39,000/year"
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Nursing,"875,000",Total 4-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,Diploma,General Nursing & Midwifery,"425,000",Total 3-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Post B.Sc Nursing,"250,000",Total 2-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,M.Sc,Paediatrics,"250,000",Total 2-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,M.Sc,OBG,"250,000",Total 2-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,M.Sc,Psychiatry,"250,000",Total 2-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,M.Sc,Nursing (Community),"250,000",Total 2-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,M.Sc,Medical Surgical Nursing,"300,000",Total 2-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Physiotherapy,"540,000",Total 4-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Physiotherapy,"340,000",Total 4-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Laboratory Technology,"490,000",Total 3-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Laboratory Technology,"305,000",Total 3-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Imaging Technology,"490,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Imaging Technology,"305,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Renal Dialysis Technology,"490,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Renal Dialysis Technology,"305,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology,"490,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Anesthesia Technology,"490,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology,"305,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Sc,Anesthesia Technology,"305,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,Diploma (Paramedical),Medical Laboratory Technology,"125,000",Total 3-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,Diploma (Paramedical),Medical Imaging Technology,"125,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,Diploma (Paramedical),Ophthalmic Technology,"125,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,Diploma (Paramedical),Operation Theatre & Anesthesia Technology,"125,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,Diploma (Paramedical),Health Inspector,"125,000",,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,Diploma (Paramedical),Dialysis Technology,"125,000",,
